category,name,stack,availableWeights,defaultWeight,isGoogleFont
"google","Istok Web","""Istok Web"", sans-serif","400|700","400","true"
"google","JetBrains Mono","""JetBrains Mono"", monospace","100|200|300|400|500|600|700|800","400","true"
"google","Josefin Sans","""Josefin Sans"", sans-serif","100|200|300|400|500|600|700","400","true"
"google","Jost","""Jost"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Jura","""Jura"", sans-serif","300|400|500|600|700","400","true"
"google","Kalam","""Kalam"", handwriting","300|400|700","400","true"
"google","Kameron","""Kameron"", serif","400|500|600|700","400","true"
"google","Kanit","""Kanit"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Karla","""Karla"", sans-serif","200|300|400|500|600|700|800","400","true"
"google","Krona One","""Krona One"", sans-serif","400","400","true"
"google","Lato","""Lato"", sans-serif","300|400|700","400","true"
"google","League Spartan","""League Spartan"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Lexend","""Lexend"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Lexend Deca","""Lexend Deca"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Libre Baskerville","""Libre Baskerville"", serif","400|500|600|700","400","true"
"google","Libre Franklin","""Libre Franklin"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Literata","""Literata"", serif","200|300|400|500|600|700|800|900","400","true"
"google","Livvic","""Livvic"", sans-serif","100|200|300|400|500|600|700|900","400","true"
"google","Lobster","""Lobster"", display","400","400","true"
"google","Lobster Two","""Lobster Two"", display","400|700","400","true"
"google","Lora","""Lora"", serif","400|500|600|700","400","true"
"google","Lustria","""Lustria"", serif","400","400","true"
"google","M PLUS Rounded 1c","""M PLUS Rounded 1c"", sans-serif","100|300|400|500|700|800|900","400","true"
"google","Macondo","""Macondo"", display","400","400","true"
"google","Mada","""Mada"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","Manrope","""Manrope"", sans-serif","200|300|400|500|600|700|800","400","true"
"google","Marcellus","""Marcellus"", serif","400","400","true"
"google","Marmelad","""Marmelad"", sans-serif","400","400","true"
"google","Marvel","""Marvel"", sans-serif","400|700","400","true"
"google","Merriweather","""Merriweather"", serif","300|400|500|600|700|800|900","400","true"
"google","Monda","""Monda"", sans-serif","400|500|600|700","400","true"
"google","Monoton","""Monoton"", display","400","400","true"
"google","Montserrat","""Montserrat"", sans-serif","300|400|500|600|700","400","true"
"google","Mukta","""Mukta"", sans-serif","200|300|400|500|600|700|800","400","true"
"google","Mulish","""Mulish"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","News Cycle","""News Cycle"", sans-serif","400|700","400","true"
"google","Noto Sans","""Noto Sans"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Sans Arabic","""Noto Sans Arabic"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Sans Hebrew","""Noto Sans Hebrew"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Sans JP","""Noto Sans JP"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Sans KR","""Noto Sans KR"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Sans SC","""Noto Sans SC"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Sans TC","""Noto Sans TC"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Noto Serif","""Noto Serif"", serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Nunito","""Nunito"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","Nunito Sans","""Nunito Sans"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","Oleo Script","""Oleo Script"", display","400|700","400","true"
"google","Onest","""Onest"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Open Sans","""Open Sans"", sans-serif","300|400|500|600|700","400","true"
"google","Oswald","""Oswald"", sans-serif","200|300|400|500|600|700","400","true"
"google","Outfit","""Outfit"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Overpass","""Overpass"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Ovo","""Ovo"", serif","400","400","true"
"google","Oxygen","""Oxygen"", sans-serif","300|400|700","400","true"
"google","Pacifico","""Pacifico"", handwriting","400","400","true"
"google","Pathway Gothic One","""Pathway Gothic One"", sans-serif","400","400","true"
"google","Patrick Hand","""Patrick Hand"", handwriting","400","400","true"
"google","Patua One","""Patua One"", display","400","400","true"
"google","Paytone One","""Paytone One"", sans-serif","400","400","true"
"google","Philosopher","""Philosopher"", sans-serif","400|700","400","true"
"google","Playfair","""Playfair"", serif","300|400|500|600|700|800|900","400","true"
"google","Playfair Display","""Playfair Display"", serif","400|500|600|700|800|900","400","true"
"google","Plus Jakarta Sans","""Plus Jakarta Sans"", sans-serif","200|300|400|500|600|700|800","400","true"
"google","Pontano Sans","""Pontano Sans"", sans-serif","300|400|500|600|700","400","true"
"google","Poppins","""Poppins"", sans-serif","300|400|500|600|700","400","true"
"google","Port Lligat Sans","""Port Lligat Sans"", sans-serif","400","400","true"
"google","Prata","""Prata"", serif","400","400","true"
"google","Press Start 2P","""Press Start 2P"", display","400","400","true"
"google","Prompt","""Prompt"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","PT Mono","""PT Mono"", monospace","400","400","true"
"google","PT Sans","""PT Sans"", sans-serif","400|700","400","true"
"google","PT Serif","""PT Serif"", serif","400|700","400","true"
"google","Public Sans","""Public Sans"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Questrial","""Questrial"", sans-serif","400","400","true"
"google","Quicksand","""Quicksand"", sans-serif","300|400|500|600|700","400","true"
"google","Rajdhani","""Rajdhani"", sans-serif","300|400|500|600|700","400","true"
"google","Raleway","""Raleway"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Rambla","""Rambla"", sans-serif","400|700","400","true"
"google","Red Hat Display","""Red Hat Display"", sans-serif","300|400|500|600|700|800|900","400","true"
"google","Righteous","""Righteous"", display","400","400","true"
"google","Roboto","""Roboto"", sans-serif","300|400|500|700","400","true"
"google","Roboto Mono","""Roboto Mono"", monospace","100|200|300|400|500|600|700","400","true"
"google","Rokkitt","""Rokkitt"", serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Rubik","""Rubik"", sans-serif","300|400|500|600|700|800|900","400","true"
"google","Ruda","""Ruda"", sans-serif","400|500|600|700|800|900","400","true"
"google","Sacramento","""Sacramento"", handwriting","400","400","true"
"google","Salsa","""Salsa"", display","400","400","true"
"system","Sans Serif","Arial, Helvetica, sans-serif","400|700","400","false"
"google","Sarabun","""Sarabun"", sans-serif","100|200|300|400|500|600|700|800","400","true"
"google","Satisfy","""Satisfy"", handwriting","400","400","true"
"google","Schibsted Grotesk","""Schibsted Grotesk"", sans-serif","400|500|600|700|800|900","400","true"
"google","Secular One","""Secular One"", sans-serif","400","400","true"
"google","Sen","""Sen"", sans-serif","400|500|600|700|800","400","true"
"system","Serif","Georgia, serif","400|700","400","false"
"google","Share Tech","""Share Tech"", sans-serif","400","400","true"
"google","Share Tech Mono","""Share Tech Mono"", monospace","400","400","true"
"google","Shrikhand","""Shrikhand"", display","400","400","true"
"google","Signika","""Signika"", sans-serif","300|400|500|600|700","400","true"
"google","Sniglet","""Sniglet"", display","400|800","400","true"
"google","Sora","""Sora"", sans-serif","100|200|300|400|500|600|700|800","400","true"
"google","Source Code Pro","""Source Code Pro"", monospace","200|300|400|500|600|700|800|900","400","true"
"google","Source Sans 3","""Source Sans 3"", sans-serif","200|300|400|500|600|700|800|900","400","true"
"google","Source Serif 4","""Source Serif 4"", serif","200|300|400|500|600|700|800|900","400","true"
"google","Space Grotesk","""Space Grotesk"", sans-serif","300|400|500|600|700","400","true"
"google","Space Mono","""Space Mono"", monospace","400|700","400","true"
"google","Spinnaker","""Spinnaker"", sans-serif","400","400","true"
"google","Staatliches","""Staatliches"", display","400","400","true"
"google","Suez One","""Suez One"", serif","400","400","true"
"google","Syne","""Syne"", sans-serif","400|500|600|700|800","400","true"
"system","System UI","-apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol""","400|700","400","false"
"google","Tajawal","""Tajawal"", sans-serif","200|300|400|500|700|800|900","400","true"
"google","Teko","""Teko"", sans-serif","300|400|500|600|700","400","true"
"google","Tenor Sans","""Tenor Sans"", sans-serif","400","400","true"
"google","Tinos","""Tinos"", serif","400|700","400","true"
"google","Titillium Web","""Titillium Web"", sans-serif","200|300|400|600|700|900","400","true"
"google","Ubuntu","""Ubuntu"", sans-serif","300|400|500|700","400","true"
"google","Ubuntu Mono","""Ubuntu Mono"", monospace","400|700","400","true"
"google","Varela Round","""Varela Round"", sans-serif","400","400","true"
"google","Vidaloka","""Vidaloka"", serif","400","400","true"
"google","Volkhov","""Volkhov"", serif","400|700","400","true"
"google","VT323","""VT323"", monospace","400","400","true"
"google","Wix Madefor Display","""Wix Madefor Display"", sans-serif","400|500|600|700|800","400","true"
"google","Wix Madefor Text","""Wix Madefor Text"", sans-serif","400|500|600|700|800","400","true"
"google","Work Sans","""Work Sans"", sans-serif","100|200|300|400|500|600|700|800|900","400","true"
"google","Yanone Kaffeesatz","""Yanone Kaffeesatz"", sans-serif","200|300|400|500|600|700","400","true"
"google","Yeseva One","""Yeseva One"", display","400","400","true"
"google","Zilla Slab","""Zilla Slab"", serif","300|400|500|600|700","400","true"
